Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Forest Sheng	betteroffdead	forest_sheng.png	Character	Syndicate	Dragon's Heir	3	{sev}{sev}	{sev}c	4			Fixed	forest sheng dragon heir	Unique. Influence: 2. Ambush. If this card is smoked by an Event or by non-combat damage, return it to play at the beginning of your next turn.	
Space Cowboys	betteroffdead	space_cowboys.png	Character	Syndicate	Final Frontier Rebels	3	{sev}{sev}	{sev}tc	4			Fixed	space cowboy final frontier rebel	Turn a [Tec] or [Chi] State on this card and target a Character at this location :: Inflict 1 non-combat damage on target, or heal 1 damage from target.	
Yamada Hanako	betteroffdead	yamada_hanako.png	Character	Syndicate	Corporate Nightclub Hostess	3	{sev}{sev}	{sev}	2			Fixed	yamada hanako corporate nightclub hostess	Unique. Uncopyable. Influence: 2. Characters you control gain +X fighting. X = their Influence.	
Ono Hideyoshi	betteroffdead	ono_hideyoshi.png	Character	Syndicate	Street Smart Hard Target	4	{sev}{sev}	{sev}c	6			Fixed	ono hideyoshi street smart hard target	Unique. Influence: 2. Turn X Influence :: Reduce the damage inflicted on this card from any one source by X. Turn X Influence in response to an Event of X cost or less :: This card gains Immunity to that Event. X must be at least 1.	
Mars Colony Miscreants	betteroffdead	mars_colony_miscreants.png	Character	Syndicate	Street Hoods	4	{sev}{sev}	{sev}	6			Fixed	mar colony miscreant street hood	Unstoppable. Influence: 2. Once per turn, while this card is attacking, you may use its Influence without turning it.	
Tamura Yumi	betteroffdead	tamura_yumi.png	Character	Syndicate	Mars Colony Prefect	5	{sev}{sev}{sev}	{sev}tc	8			Fixed	tamura yumi mar colony prefect	Unique. Influence: 4. Tactics. Once per turn, when a card uses Tactics or turns to provide Influence, you may unturn that card.	
Ishii Mifune	betteroffdead	ishii_mifune.png	Character	Syndicate	Corporate Mastermind	6	{sev}{sev}{sev}	{sev}c	10			Fixed	ishii mifune corporate mastermind	Unique. Unstoppable. Tactics. Once per turn, when this card would enter combat with the target of its attack, you may change the target of its attack to any other Character or Site (including back-row Sites) at the same location.	
Energy Regulation Network	betteroffdead	energy_regulation_network.png	Edge	Syndicate	Cybernetic Edge by MAIRAX	2	{sev}t					Fixed	energy regulation network cybernetic by mairax	Turn this card, turn X Influence, and target Characters with a total Fighting of X+2 or less :: Unturn targets.	
Zero-G Kung Fu	betteroffdead	zero_g_kung_fu.png	Event	Syndicate	Event	2	{sev}{sev}c					Fixed	zero g kung fu	Target an attacking Character :: Inflict 2 non-combat damage on all cards controlled by all opponents at target's location. Target gains Superleap until the end of the turn.	
Contract	betteroffdead	contract.png	Event	Syndicate	Corporate Event	0	{sev}{sev}X					Fixed	contract corporate	Turn any amount of Influence and target a Character whose cost is less than X plus the amount of Influence turned :: Smoke target.	
The Mars Colony	betteroffdead	the_mars_colony.png	Feng Shui Site	Syndicate	Corporate Feng Shui Site	2	{sev}{sev}	{sev}tc		1	7	Fixed	mar colony corporate	Unique. Influence: 1. Once per turn, you may turn X Influence and target a <Mars> Character or a Character at this location :: You may either inflict X non-combat on target or heal X damage from target.	
Branch Office	betteroffdead	branch_office.png	Site	Syndicate	Corporate Site	2		{sev}c		1	6	Fixed	branch office corporate	Influence: 2.	
Herbert Suit	betteroffdead	herbert_suit.png	State	Syndicate	State	0	{sev}{sev}{sev}t					Fixed	herbert suit	Subject Character gains Tactics. When subject is targeted by an effect, you may sacrifice this card in response :: Cancel that effect.	
Neurolinked Sword	betteroffdead	neurolinked_sword.png	State	Syndicate	Cybermod State	2	{sev}tc					Fixed	neurolinked sword cybermod	Weapon. Subject Character gains +3 Fighting while this card is unturned. When an attack is declared, you may turn this card :: Until the end of the attack, subject inflicts damage at the same time as an attacker with Ambush would.	
