Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Too Much Monkey Business	betteryesterday	too_much_monkey_business.png	Event	Jammers	Event	0	{jam}					Fixed	too much monkey business	Limited.  Play during your turn in response to an Event played by an opponent :: Play a Character at -2 cost.  That Character gains Guts and Independent until the end of the turn.	
Elite Guards	betteryesterday	elite_guards.png	Character	Eaters of the Lotus	Competent Pawns	2	l	l	2			Fixed	elite guard competent pawn	<Eunuch> Characters are not legal targets for attacks or Events. +1 combat damage for each Unique [Lot] Character you control.	
Imperial Guard	betteryesterday	imperial_guard.png	Character	Eaters of the Lotus	Ancient Cop	2	l	l	2			Fixed	imperial guard ancient cop	+1 Fighting for each <Eunuch> card you control.	
Ghost Assassin	betteryesterday	ghost_assassin.png	Character	Eaters of the Lotus	Deadly Spirit	3	l{mon}	l	4			Fixed	ghost assassin deadly spirit	Toast a Character in your smoked pile :: This card copies the rules text of the toasted Character until the end of the turn.	
Dance of the Centipede	betteryesterday	dance_of_the_centipede.png	Event	Eaters of the Lotus	Event	1	l					Fixed	dance centipede	Target a card in play, which cannot be turned in response :: Turn and cancel target until the end of the turn.	
Drowning In Blood	betteryesterday	drowning_in_blood.png	Event	Eaters of the Lotus	Event	0	ll					Fixed	drowning blood	Target a Character :: Until the end of the turn, inflict 2 non-combat damage on target when a Character is smoked.	
Registry of the Damned	betteryesterday	registry_of_the_damned.png	Site	Eaters of the Lotus	Site	1	ll{mon}	l		0	6	Fixed	registry damned	Limited. Place a counter on this card when an opponent plays an Event with a printed cost of 0.  Choose a Character in your smoked pile, remove a number of counters from this card equal to that Character's printed cost, and turn :: Return that Character to play.  It gains the designator <Ghost>.	
Sphere of Defilement	betteryesterday	sphere_of_defilement.png	State	Eaters of the Lotus	State	1	ll					Fixed	sphere defilement	When subject Site is turned, inflict 1 non-combat Corrupted damage on all Sites controlled by Subject's controller (including subject).	
Larcenous Fog	betteryesterday	larcenous_fog.png	State	Eaters of the Lotus	State	1	l{mon}					Fixed	larcenous fog	Subject Site is cancelled.  You may Reload this card when an opponent reduces the body of a Site you control to zero.	
Aide de Camp	betteryesterday	aide_de_camp.png	Character	Four Monarchs	Netherworld Warrior	2		{arc}	2			Fixed	aide de camp netherworld warrior	Characters you control cannot have the target of their attack changed.  If this card is in your hand you may discard it in response to an effect that would take control of any Characters you control :: Cancel that effect.	
Spartan Warriors	betteryesterday	spartan_warriors.png	Character	Four Monarchs	Netherworld Mercenaries	3	{arc}	{arc}	4			Fixed	spartan warrior netherworld mercenary	Tactics. +1 Fighting and Toughness: 1 while you control only <Warrior> Characters.	
Ice Vixen	betteryesterday	ice_vixen.png	Character	Four Monarchs	Stone Cold Fox	4	{arc}{arc}	{arc}	6			Fixed	ice vixen stone cold fox	When a State is played on this card, heal this card.	
Chain Lightning	betteryesterday	chain_lightning.png	Event	Four Monarchs	Thunder Event	2	{arc}{mon}					Fixed	chain lightning thunder	Target four Characters :: Inflict 4 non-combat damage on one, 3 on another, 2 on another, and 1 on the last.	
Contract of the Fox	betteryesterday	contract_of_the_fox.png	State	Chi	State	2	c					Fixed	contract fox	Turn :: Unturn subject Character.	
CAT Tactics	betteryesterday	cat_tactics.png	Edge	High Tech	Edge	0	tt					Fixed	cat tactic	Not Cumulative. If an opponent ends their turn without declaring an attack, put a counter on this card.  Turn, target a Character, and remove X counters from this card :: Target gains +X Fighting until the end of the turn.	
Invincible Chi	betteryesterday	invincible_chi.png	Event	Chi	Event	1	ccc					Fixed	invincible chi	Choose States, Edges, or Sites :: Cancel all cards of that type until the end of the turn.	
Deepfake Geoscan	betteryesterday	deepfake_geoscan.png	Event	High Tech	Event	1	ttt					Fixed	deepfake geoscan	Play during any Main Shot except during an attack.  Target a back-row Site :: Create a new column in target's controller's Site structure by moving target to a new location to the right of all current locations controlled by target.	
Casbah	betteryesterday	casbah.png	Site	Unaligned	Site	2				1	5	Fixed	casbah	If this Site is in your front row when an opponent plays a 0-cost Event, you may steal 1 Power from them.	
Temple of the Monkey King	betteryesterday	temple_of_the_monkey_king.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	8	Fixed	temple monkey king	Turn and target a Character attacking a card at this location :: Cancel target until the end of the turn.	
The Great Wall	betteryesterday	the_great_wall.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	8	Fixed	great wall	No Max. +2 Body for each Power-generating Site in your front row. Turn in response to an effect that would steal Power from you :: Cancel that effect.	
Shadowfist	betteryesterday	shadowfist.png	State	Chi	State	2	cccc					Fixed	shadowfist	All combat damage inflicted on subject Character is reduced to 0. Subject gains Unstoppable.	
