Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Wave of Mutilation	rainforestrumble	wave_of_mutilation.png	Event	Architects of the Flesh	Event	3	{arc}{arc}					Fixed	wave mutilation	Smoke all Characters. For each non-token Character smoked in this way, that Character's controller puts an "Abomination" token into play under their control.	
Fortress Omega: Hong Kong	rainforestrumble	fortress_omega_hong_kong.png	Site	Architects of the Flesh	Site	3	{arc}{arc}{arc}{tek}	{arc}{tek}		1	9	Fixed	fortress omega hong kong	Unique. Toughness: 1. You may play Characters that require 3 or more resources at -1 cost. While playing a Character, you may pay exactly 1 additional Power for that Character to give it +3 Fighting as it comes into play.	
Front Lines	rainforestrumble	front_lines.png	Site	Architects of the Flesh	Battleground Site	1	{arc}{arc}			0	6	Fixed	front line battleground	Once per turn, if this card is in your front row when you declare an attack, you may pay one Power :: Put a "BuroMil Soldier" token in play, which immediately turns and joins the attack.	
Shadow of the Jaguar	rainforestrumble	shadow_of_the_jaguar.png	Character	Ascended	Transformed Martial Artist	2		{asc}{chi}	2			Fixed	shadow jaguar transformed martial artist	Tactics. Upgrade {asc}{asc}{asc}3: 5 Fighting. Once per turn when a card you control uses Tactics, you may play a {chi} State or {chi} Event at -1 cost.	
Sicario	rainforestrumble	sicario.png	Character	Ascended	Sworn Assassin	1		{asc}{chi}	1			Fixed	sicario sworn assassin	Assassinate. Cannot turn to attack Sites.	
Kunoichi	rainforestrumble	kunoichi.png	Character	Ascended	Sworn Ninjas	1	{asc}	{asc}{chi}	1			Fixed	kunoichi sworn ninja	May be played during an attack during any Main Shot. When this card enters play during an attack, target an attacking or intercepting Character :: Inflict 1 Stun non-combat damage on target and it may not intercept during this attack.	
Birdwatchers	rainforestrumble	birdwatchers.png	Character	Ascended	Sworn Spies	4	{asc}{asc}	{asc}	6			Fixed	birdwatcher sworn spy	Stealth. Tactics. This card may use Tactics to cease intercepting the way an attacker can use it to cease attacking.	
Curiosity	rainforestrumble	curiosity.png	Character	Ascended	Transformed Ninja	3	{asc}{asc}	{asc}{chi}	3			Fixed	curiosity transformed ninja	Unique. Assassinate. Cannot be sacrificed. When you play an Edge or Event that does not share a title with a card in your smoked pile, you may return this card to play.	
Squeeze of the Anaconda	rainforestrumble	squeeze_of_the_anaconda.png	Character	Ascended	Transformed Extorting Agent	3	{asc}{asc}	{asc}{chi}	4			Fixed	squeeze anaconda transformed extorting agent	Assassinate. Once during each of your Main Shots, when you play a {chi} Event or {chi} State, you may target an opponent :: Steal one Power from target.	
Wetworks Team	rainforestrumble	wetworks_team.png	Character	Ascended	Sworn Secret Agents	3	{asc}{asc}	{asc}	4			Fixed	wetworks team sworn secret agent	Stealth. When this card damages the target of its attack, you may look at the hand of its target's controller; if this card did not use Stealth this attack, you may choose a card in that hand and discard it.	
Enrico Falcao	rainforestrumble	enrico_falcao.png	Character	Ascended	Determined Sworn Assassin	4	{asc}{asc}{asc}	{asc}	6			Fixed	enrico falco determined sworn assassin	Unique. Assassinate. Toughness: 2 against combat damage. Upgrade {asc}{asc}{asc}6: 8 Fighting. Ambush.	
Ferdinand Solomon	rainforestrumble	ferdinand_solomon.png	Character	Ascended	Killer Transformed Panther	6	{asc}{asc}{asc}	{asc}{chi}	9			Fixed	ferdinand solomon killer transformed panther	Unique. Stealth. Guts. Once during each of your Main Shots, when you play a {chi} Event or {chi} State, this card gains Ambush until the end of the turn. 	
General Mark Grimshaw	rainforestrumble	general_mark_grimshaw.png	Character	Ascended	Lodge Killer	5	{asc}{asc}{asc}	{asc}	9			Fixed	general mark grimshaw lodge killer	Unique. Ambush and Assassinate against Characters with non-damage counters on them. When this card enters play and at the start of your turn, target a Character :: Put a counter on target.	
The Unspoken Name	rainforestrumble	the_unspoken_name.png	Character	Ascended	Renegade Sworn Mastermind	5	{asc}{asc}{asc}	{asc}	8			Fixed	unspoken name renegade sworn mastermind	Unique. Tactics. While this card is attacking, <Sworn> Characters you control gain Immunity to opponents’ Events. This card is canceled while at the location of a <Lodge> Character.	
Von Humboldt	rainforestrumble	von_humboldt.png	Character	Ascended	Sworn Rainforest Explorer	4	{asc}{asc}{asc}	{asc}	5			Fixed	von humboldt sworn rainforest explorer	Unique. +X Fighting. X = the number of <Rainforest>, Limited, and Unique Sites in play. While at the location of a <Rainforest> Site, this card gains Stealth and damage inflicted on this card by Sites is reduced to zero.	
The Beast Within	rainforestrumble	the_beast_within.png	Edge	Ascended	Transformed Edge	2	{asc}{asc}{asc}{chi}					Fixed	beast transformed	Not Cumulative. Once per your Main Shot, you may play a <Path>, <Wild>, or <Feral> card at -1 cost.  <Transformed> Characters you control that are the subject of a State gain Fighting equal to the printed cost of that State.	
Call of the Wild	rainforestrumble	call_of_the_wild.png	Edge	Ascended	Edge	2	{asc}{asc}{asc}					Fixed	call wild	Characters you control gain Ambush when attacking Characters. When you play a {chi} Event or {chi} State, you may target a Character :: Target gains +1 Fighting until it leaves play.	
Mind Games	rainforestrumble	mind_games.png	Edge	Ascended	Edge	0	{asc}{asc}					Fixed	mind game	Not Cumulative. When this card enters play, target an opponent, look at their hand and name a card that is not a foundation or Feng Shui Site. When target plays the named card, sacrifice :: Gain 2 power.	
Secret Societies	rainforestrumble	secret_societies.png	Edge	Ascended	Edge	1	{asc}{asc}{asc}					Fixed	secret society	"Sworn" tokens you control cannot be declared as attackers unless a Unique Character you control is also attacking. You may turn this card when a Unique {asc} Character enters play from your hand :: Put a "Sworn" token into play.	
Wealth of Nations	rainforestrumble	wealth_of_nations.png	Edge	Ascended	Political Edge	2	{asc}{asc}{asc}					Fixed	wealth nation political	Limited. <Sworn> Characters you control gain +X Fighting. X= the number of your opponents with Power in their pool.	
Dart of the Poison Frog	rainforestrumble	dart_of_the_poison_frog.png	Event	Ascended	Transformed Event	0	{asc}{chi}					Fixed	dart poison frog transformed	Target a Character :: Target inflicts -2 combat damage until the end of its controller's turn. You may Reload this card when a <Transformed> Character you control is smoked.	
Priority Investigation	rainforestrumble	priority_investigation.png	Event	Ascended	Event	1	{asc}{asc}{asc}					Fixed	priority investigation	Limited. Play in response to an opponent reducing the body of a Site you control to zero :: Put 2 "Agent" tokens into play. Put an additional "Agent" token into play if the site is Unique or provides {asc}.	
Illuminated Grove	rainforestrumble	illuminated_grove.png	Site	Ascended	Site	2	{asc}	{asc}{chi}		1	6	Fixed	illuminated grove	Turn and maintain and target a <Transformed> Character :: Target gains +X Fighting, where X= the number of other <Transformed> Characters you control.	
Apex Predator	rainforestrumble	apex_predator.png	State	Ascended	State	4	{asc}{asc}{asc}{chi}					Fixed	apex predator	Not cumulative. Subject Character gains +6 Fighting. The first time during each of your Main Shots that subject smokes a Character it gains +X Fighting. X= the printed cost of that Character.	
Locum	rainforestrumble	locum.png	Character	Dragons	Maverick Street Doc	2		{dra}{tek}	2			Fixed	locum maverick street doc	Independent. Once per turn when this card enters combat you may target a damaged Character :: Heal target and draw a card.	
Redeemed Mook	rainforestrumble	redeemed_mook.png	Character	Dragons	Rambunctious Bruiser	1		{dra}	1			Fixed	redeemed mook rambunctious bruiser	+1 Fighting and Toughness: 1 while there are four or more Characters at this location.	
Seamus' Apprentices	rainforestrumble	seamus_apprentices.png	Character	Dragons	Techie Students	2		{dra}{tek}	2			Fixed	seamus apprentice techie student	When this card enters play, draw two cards. Upgrade {dra}{dra}3: 4 Fighting.	
Capoeira Master	rainforestrumble	capoeira_master.png	Character	Dragons	Martial Artist	4	{dra}{dra}	{dra}	6			Fixed	capoeira master martial artist	+3 combat damage when intercepting. When this card smokes a Character you may target a Character at this location :: Inflict 1 non-combat damage on target.	
Cassie Abel	rainforestrumble	cassie_abel.png	Character	Dragons	Redeemed Silent Vigilante	4	{dra}{dra}	{dra}	5			Fixed	cassie abel redeemed silent vigilante	Unique. Stealth. Stun. When this card enters combat, you may target another card at this location :: Inflict 1 non-combat damage on target.	
Det. Samantha North	rainforestrumble	det_samantha_north.png	Character	Dragons	Maverick Cop Clone	3	{dra}{dra}	{dra}	4			Fixed	det samantha north maverick cop clone	Unique.  Guts. When this card enters combat with a Character, this card gains +1 Fighting until the end of the turn.	
Kar Bai	rainforestrumble	kar_bai.png	Character	Dragons	Hero in Training	1	{dra}{dra}	{dra}	1			Fixed	kar bai hero training	Unique. Independent. Cannot be intercepted by Characters that do not require resources. Upgrade {dra}{dra}{dra}{dra}5: 8 Fighting, Guts and the subtitle becomes Master Hero.	
Melissa Aguelera	rainforestrumble	melissa_aguelera.png	Character	Dragons	Retired Commando	5	{dra}{dra}	{dra}	7			Fixed	melissa aguelera retired commando	Unique. Tactics. Characters you control with Guts gain +1 Fighting. Turn and maintain a Site you control and target a Character :: Target gains Guts and Tactics.	
Tattooed Girl	rainforestrumble	tattooed_girl.png	Character	Dragons	Resilient Survivor	3	{dra}{dra}	{dra}	3			Fixed	tattooed girl resilient survivor	Guts. Cannot be sacrificed. When this card enters play from the smoked pile, it immediately gains +4 Fighting until it leaves play.	
Two-Fisted Archeologist	rainforestrumble	two_fisted_archeologist.png	Character	Dragons	Maverick Explorer	2	{dra}{dra}	{dra}	2			Fixed	two fisted archeologist maverick explorer	+2 Fighting and Guts while there are four or more Characters at this location.  Once per your Main Shot, you may play a State on this card from any player's smoked pile, ignoring resource conditions. States played in this manner gain Toast It.	
Alfonso "El Torbellino" Juarez	rainforestrumble	alfonso_el_torbellino_juarez.png	Character	Dragons	Swole Hombre	5	{dra}{dra}{dra}	{dra}	8			Fixed	alfonso el torbellino jurez swole hombre	Unique. Guts. While there are four or more Characters at this location, Characters you control at this location gain +1 Fighting and Toughness: 1.	
Joey Paz	rainforestrumble	joey_paz.png	Character	Dragons	Escrima Master	4	{dra}{dra}{dra}	{dra}{chi}	6			Fixed	joey paz escrima master	Unique. Toughness: 2 for each player who has played an Event this turn. When a card you control is removed from play by an opponent's Event, you may play this card at -3 cost.	
Warren Church	rainforestrumble	warren_church.png	Character	Dragons	Maverick Bruiser	6	{dra}{dra}{dra}	{dra}	9			Fixed	warren church maverick bruiser	Unique. Guts. Once per turn, when damage is inflicted on this card, it gains +2 Fighting until it leaves play.	
Little Jim	rainforestrumble	little_jim.png	Character	Dragons	Redeemed Abomination	6	{dra}{dra}{dra}{tek}	{dra}	10			Fixed	little jim redeemed abomination	Unique. Regenerate. Sentinel. While there are four or more Characters at this location, Characters you control at this location gain Immunity to opponents' Events that would damage them or remove them from play.	
Loose Cannons	rainforestrumble	loose_cannons.png	Edge	Dragons	Edge	2	{dra}{dra}					Fixed	loose cannon	Not Cumulative. When a <Maverick> Character you control is removed from play by an opponent, turn this card :: Cut your deck and reveal the top card. You may play it at no cost, regardless of type.	
Favela Fracas	rainforestrumble	favela_fracas.png	Event	Dragons	Event	2	{dra}{dra}					Fixed	favela fracas	Characters you control gain +X Fighting and Unstoppable until the end of the turn. X = the number of players that control Characters at this location.	
Rainforest Rumble	rainforestrumble	rainforest_rumble.png	Event	Dragons	Event	1	{dra}{dra}					Fixed	rainforest rumble	Target a location :: Inflict 1 non-combat damage on all Characters at that location. Then, if there were 4 or more Characters at that location when this card was played, inflict 1 additional non-combat damage on all opponents' Characters at that location.	
Turning The Tables	rainforestrumble	turning_the_tables.png	Event	Dragons	Event	0	{dra}					Fixed	turning table	Target an opponent during their Main Shot :: Steal X Power from target. X = the number of attacks they have declared this turn.	
Favela Workshops	rainforestrumble	favela_workshops.png	Site	Dragons	Site	2	{dra}	{dra}		1	7	Fixed	favela workshop	Characters you control that are the subject of a State that requires a faction resource not provided by the subject gain +1 Fighting. You may substitute {dra} for each resource condition on <Vehicle> and <Gun> States when playing such States.	
Furious Tiger Kung Fu	rainforestrumble	furious_tiger_kung_fu.png	State	Dragons	State	3	{dra}{dra}{dra}					Fixed	furious tiger kung fu	Subject Character gains +X Fighting and Unstoppable. X=the number of Unique cards you control and in your smoked pile.	
Bloom Tender	rainforestrumble	bloom_tender.png	Character	Guiding Hand	Rainforest Gardener	2		{han}{chi}	2			Fixed	bloom tender rainforest gardener	Sentinel. Once per turn when a card is healed, you may look at the top 2 cards of your deck. Draw one and put one on either the top or bottom of your deck.	
Rainforest Revolutionaries	rainforestrumble	rainforest_revolutionaries.png	Character	Guiding Hand	Violet Order Peasants	2		{han}{chi}	2			Fixed	rainforest revolutionary violet order peasant	When an opponent with Power in their pool declares an attack against a card you control, you may return this card to play from your smoked pile. Upgrade: {han}{han}3: 4 Fighting. Turn and target a <Rainforest> card :: Heal target.	
Medicinal Gardener	rainforestrumble	medicinal_gardener.png	Character	Guiding Hand	Elderly Disciple	1	{han}	{han}{chi}	1			Fixed	medicinal gardener elderly disciple	Discard a card and target a damaged Character or Site you control :: Heal 1 damage from target.	
Monks of Tao Lo	rainforestrumble	monks_of_tao_lo.png	Character	Guiding Hand	Violet Rainforest Protectors	3	{han}	{han}{chi}	4			Fixed	monk tao lo violet rainforest protector	If an effect would return one or more cards (of any type) from your smoked pile to play, you may choose this card instead of one of those cards.	
Golden Sky Koi	rainforestrumble	golden_sky_koi.png	Character	Guiding Hand	Flying Fish	2	{han}{han}	{han}{chi}	2			Fixed	golden sky koi flying fish	Superleap. When this card reduces the body of a Site to 0, it gains +2 Fighting until it leaves play.	
Tao Bin	rainforestrumble	tao_bin.png	Character	Guiding Hand	Violet Martial Artist	3	{han}{han}	{han}{chi}	3			Fixed	tao bin violet martial artist	Unique. Superleap. When an effect returns one or more cards to play or to their owner's hand from a smoked pile, this card gains +1 Fighting until it leaves play.	
Drunk of the North	rainforestrumble	drunk_of_the_north.png	Character	Guiding Hand	Kung Fu Clone	3	{han}{han}{han}	{han}	5			Fixed	drunk north kung fu clone	Unique. Unstoppable. Cannot be intercepted by Characters with a Fighting of 2 or less.	
La Madremonte	rainforestrumble	la_madremonte.png	Character	Guiding Hand	Spirit of the Rainforest	4	{han}{han}{chi}	{han}{chi}	6			Fixed	la madremonte spirit rainforest	Unique. Loyalty. Regenerate. When an opponent damages a Site you control, this card gains +1 Fighting until it leaves play. You may give this card -1 Fighting :: Heal up to 2 damage from each Site you control.	
Peasant Archers	rainforestrumble	peasant_archers.png	Character	Guiding Hand	Kyudo Monks	3	{han}{han}{han}	{han}	4			Fixed	peasant archer kyudo monk	If this card is unturned while intercepting, this card inflicts its combat damage at the same time an attacker with Ambush would.  When this card turns to attack, you may target a Character at this location :: Inflict 2 non-combat damage on target.	
Punch-Drunk Monk	rainforestrumble	punch_drunk_monk.png	Character	Guiding Hand	Liquored-up Martial Artist	4	{han}{han}{han}	{han}{chi}	6			Fixed	punch drunk monk liquored up martial artist	Toughness: 1. Discard a card :: This card gains Guts until the end of the turn.	
Qin Wei Hua	rainforestrumble	qin_wei_hua.png	Character	Guiding Hand	Wandering Archivist	6	{han}{han}{han}	{han}{chi}{chi}	10			Fixed	qin wei hua wandering archivist	Unique. Toughness: X. Independent. Your hand size is increased by X. X = the number of your opponents.	
Rainforest Gardener	rainforestrumble	rainforest_gardener.png	Character	Guiding Hand	Martial Artist	4	{han}{han}{han}	{han}{chi}	6			Fixed	rainforest gardener martial artist	Stun. Sites you control at this location gain Toughness: 1. Once per turn, when a Site you control is healed, this card gains +1 Fighting until it leaves play.	
Tamotsu	rainforestrumble	tamotsu.png	Character	Guiding Hand	Budding Violet Master	4	{han}{han}{han}	{han}{chi}	4			Fixed	tamotsu budding violet master	Unique. When this card enters play, you may choose up to 2 Characters with a printed cost of 1 or 2 in your smoked pile :: This card copies the rules text of the chosen Characters until it leaves play. Return the chosen Characters to play and cancel them until they leave play.	
Violet Master	rainforestrumble	violet_master.png	Character	Guiding Hand	Rainforest Recluse	4	{han}{han}{han}	{han}{chi}	6			Fixed	violet master rainforest recluse	You may play this card in any Main Shot in response to an Event. When this card enters play from your hand, you may return a card from your smoked pile to your hand.	
Rainforest Alliance	rainforestrumble	rainforest_alliance.png	Edge	Guiding Hand	Edge	2	{han}					Fixed	rainforest alliance	<Gardener> Characters you control gain +1 Fighting and Regenerate while you control a damaged Site. Turn and target a Site you control :: Redirect all damage inflicted on target by a single source to a Character you control.	
Defense of the Turtle	rainforestrumble	defense_of_the_turtle.png	Event	Guiding Hand	Yellow Event	0	{han}{han}{chi}					Fixed	defense turtle yellow	Target a Site you control that is not the target of an attack :: Redirect all damage that would be inflicted on one or more Characters you control from a single source to target Site.	
Euphonics	rainforestrumble	euphonics.png	Event	Guiding Hand	Event	0	{han}{chi}					Fixed	euphonics	Limited. Heal 2 damage from each Character and Site in play. Draw a card.	
Rain of Tears	rainforestrumble	rain_of_tears.png	Event	Guiding Hand	Event	0	{han}{han}	{chi}				Fixed	rain tear	Limited. Play when a Unique Character you control is smoked by an opponent :: Gain 2 Power and you may heal a card you control.	
Remote Dojo	rainforestrumble	remote_dojo.png	Site	Guiding Hand	Monastery Site	2	{han}{han}	{han}{chi}		1	6	Fixed	remote dojo monastery	At the start of your turn you may choose to skip your Draw Phase :: Put a "Martial Artist" token into play.	
Secluded Mountain	rainforestrumble	secluded_mountain.png	Site	Guiding Hand	Site	2		{han}{chi}		1	6	Fixed	secluded mountain	Once per turn when you discard one or more cards, you may draw a card or discard an additional card.	
Blunt The Crane's Beak	rainforestrumble	blunt_the_cranes_beak.png	State	Guiding Hand	State of Yellow Mastery	2	{han}{han}{chi}{chi}					Fixed	blunt crane beak yellow mastery	Play on a Character. Turn and target a card at this location :: Redirect all damage inflicted on subject from a single source to target.	
Mastery of the Green Principle	rainforestrumble	mastery_of_the_green_principle.png	State	Guiding Hand	State	3	{han}{han}{han}					Fixed	mastery green principle	Crisis: {han}2. If you use Crisis, you may play this card during any Main Shot. Subject Character gains +3 Fighting and Toughness: 2. When damage inflicted on subject is reduced, you may draw or discard a card.	
Path to Enlightenment	rainforestrumble	path_to_enlightenment.png	State	Guiding Hand	State	1	{han}{han}{chi}{chi}					Fixed	path enlightenment	Not Cumulative.  Turn or pay one Power :: Subject Character gains +1 Fighting until it leaves play. Upgrade {han}{han}{chi}{chi}2: Subject gains Superleap.	
Transcendence	rainforestrumble	transcendence.png	State	Guiding Hand	State of Mastery	3	{han}{chi}					Fixed	transcendence mastery	Subject Character gains +X Fighting. X = the number of {chi} resources in your pool. While you have two or fewer cards in your hand, subject gains Immunity to Events and other States.	
Post-Modern Malcontents	rainforestrumble	post_modern_malcontents.png	Character	Jammers	Disillusioned Ape Punks	2		{jam}{tek}	2			Fixed	post modern malcontent disillusioned ape punk	Stun. Upgrade: {jam}{jam}{jam}4: 6 Fighting. Unstoppable.	
Spyder Monkey	rainforestrumble	spyder_monkey.png	Character	Jammers	Rainforest Infiltrator	2		{jam}{tek}	2			Fixed	spyder monkey rainforest infiltrator	When this card turns to attack, immediately reveal and turn all Sites, which cannot be turned in response, at the target of the attack's location.	
Really Great Apes	rainforestrumble	really_great_apes.png	Character	Jammers	Rainforest Saboteurs	2	{jam}	{jam}{tek}	2			Fixed	really great ape rainforest saboteur	When an opponent steals or gains Power due to an effect they generated, this card gains +2 Fighting until it leaves play.	
C.I. Ape	rainforestrumble	c_i_ape.png	Character	Jammers	Rainforest Agent	4	{jam}{jam}	{jam}	6			Fixed	ci ape rainforest agent	Independent. When an opponent steals or gains Power due to an effect they generated, you may play an <Ape> card at -2 cost and look at that player's hand.	
Potemkin's Elite	rainforestrumble	potemkins_elite.png	Character	Jammers	Repentant Soldiers	3	{jam}{jam}	{jam}	4			Fixed	potemkin elite repentant soldier	Independent.  This card gains Stealth while you have a Site in your Burned for Victory pile. When this card seizes a Site, it gains +2 Fighting until it leaves play.	
Riot Grrrls	rainforestrumble	riot_grrrls.png	Character	Jammers	Amped Up Punks	3	{jam}{jam}	{jam}	3			Fixed	riot grrrls amped up punk	When this card turns to attack a Site, inflict X non-combat damage, divided any way you choose, on non-attacking Characters at the location of the attack. X = the number of attackers.	
Dr. Sara Nordstrom	rainforestrumble	dr_sara_nordstrom.png	Character	Jammers	Weird Clone Creator	3	{jam}{jam}{jam}	{jam}{tek}	3			Fixed	dr sara nordstrom weird clone creator	Unique. Uncopyable. The values of all numbers not written as words on all {tek} and {jam} States you control at this location are increased by one.	
Green Rain	rainforestrumble	green_rain.png	Character	Jammers	Repentant Scientist	3	{jam}{jam}{jam}	{jam}{arc}{tek}	4			Fixed	green rain repentant scientist	Unique. Uncopyable. When this card enters play from your hand, put three counters on it. At the end of your turn, remove a counter. If this card has no counters at the end of the turn, smoke it. Once per your Main Shot, you may play a {tek} card from your hand or smoked pile at -1 cost. That card gains Toast It.	
The Organ Grinder	rainforestrumble	the_organ_grinder.png	Character	Jammers	Cannibal Ape	5	{jam}{jam}{jam}	{jam}	9			Fixed	organ grinder cannibal ape	Unique. Sacrifice a <Monkey>, <Ape>, or <Simian> Character, or toast such a card in your smoked pile :: Copy the rules text of the sacrificed or toasted card to this card until the end of the turn.	
Potemkin's Rebels	rainforestrumble	potemkins_rebels.png	Character	Jammers	Remorseful Rainforest Saboteurs	5	{jam}{jam}{jam}	{jam}{tek}	8			Fixed	potemkin rebel remorseful rainforest saboteur	Unstoppable. Once per Main Shot you may target a location and toast a {tek} card in your smoked pile :: Inflict one Stun non-combat damage on all Sites at target, and cancel those Sites until the end of the turn.	
Ancient Stone Guardian	rainforestrumble	ancient_stone_guardian.png	Character	Jammers	Rainforest Ape Sentry	4	{jam}{jam}{jam}{jam}	{jam}	5			Fixed	ancient stone guardian rainforest ape sentry	Unstoppable. Mobility. Once during your Main Shot, this card may attack while turned.	
Battlechimp Potemkin	rainforestrumble	battlechimp_potemkin.png	Character	Jammers	Rainforest Ape Mastermind	4	{jam}{jam}{jam}{jam}	{jam}{jam}	6			Fixed	battlechimp potemkin rainforest ape mastermind	Unique. Uncopyable. Independent. Loyalty. If you smoke a Site, toast your deck. When a Character you control inflicts combat damage on a Site, it also inflicts an equal amount of combat damage on any other Site at that location.	
Empress Tama	rainforestrumble	empress_tama.png	Character	Jammers	Queen of the Apes	3	{jam}{jam}{jam}{jam}	{jam}{jam}	4			Fixed	empress tama queen ape	Unique. <Ape> and <Gorilla> Characters you control gain +1 Fighting and Immunity to opponent's effects. When an opponent generates an effect, they may pay you one power. If they do, <Ape> and <Gorilla> Characters you control lose the Immunity this card grants to that effect.	
Potemkin's Alliance	rainforestrumble	potemkins_alliance.png	Edge	Jammers Four Monarchs Guiding Hand	Rainforest Edge	0	{jam}					Fixed	potemkin alliance rainforest	Limited. While playing <Rainforest> cards (including this one), you may substitute {jam}, {han}, or {mon} for their resource conditions. During your Establishing Shot this card generates one Power if you have {jam}, {han}, and {mon} in your pool.  Turn and discard a <Rainforest> card :: Draw a card.	
"Fly, My Pretties!"	rainforestrumble	fly_my_pretties.png	Event	Jammers	Weird Science Event	1	{jam}{jam}{jam}					Fixed	fly my pretty weird science	All <Monkey> and <Ape> Characters gain Stealth and Mobility until the end of turn. Until the end of the turn, when a <Monkey> or <Ape> is smoked inflict 1 non-combat damage on all cards at that card's last location.	
Gibbon Missile Crisis	rainforestrumble	gibbon_missile_crisis.png	Event	Jammers	Ape Event	0	{jam}{jam}{jam}					Fixed	gibbon missile crisis ape	Limited. Target an opponent :: Target may give you 1 Power. If they do not, inflict 2 non-combat damage on each Site controlled by target.	
Potemkin's Last Charge	rainforestrumble	potemkins_last_charge.png	Event	Jammers	Event	2	{jam}{jam}{jam}					Fixed	potemkin last charge	Target an attacking Character :: Until the end of the turn, target gains +4 Fighting, Toughness:1, and Guts, and all other Characters you control inflict +1 combat damage on Sites.	
Potemkin's Sanctuary	rainforestrumble	potemkins_sanctuary.png	Site	Jammers	Rainforest Site	2	{jam}	{jam}		1	6	Fixed	potemkin sanctuary rainforest	Unique. <Rainforest> cards gain Regenerate. Turn in response to an effect that would cancel one or more cards in play :: Cancel that effect.	
Chi Clamp	rainforestrumble	chi_clamp.png	State	Jammers	State	0	{jam}{jam}{jam}{tek}					Fixed	chi clamp	Turn subject Site. Subject does not unturn during its controller's Establishing Shot.	
ColoBus	rainforestrumble	colobus.png	State	Jammers	Rainforest State	2	{jam}{jam}{jam}					Fixed	colo bu rainforest	Vehicle. Subject Character gains +3 Fighting. Characters you control at this card's location inflict +2 combat damage against turned Sites.	
Dark Stone Assassins	rainforestrumble	dark_stone_assassins.png	Character	Eaters of the Lotus	Silent Thorns	2		{lot}{mag}	2			Fixed	dark stone assassin silent thorn	Assassinate. You may sacrifice a Character to play this card at -1 cost. Upgrade: {lot}{lot}{lot}5: 7 Fighting, Lethal, and Unstoppable.	
Itzcoliuhqui's Chosen	rainforestrumble	itzcoliuhquis_chosen.png	Character	Eaters of the Lotus	Undead Darkness Cultists	1		{lot}	1			Fixed	itzcoliuhqui chosen undead darkness cultist	Corrupted. Toast this card in your smoked pile :: Toast a non-foundation card in any smoked pile.	
